粵語,標準漢語1,標準漢語2
婆形,婦人氣,娘娘腔
婆婆,外祖母,姥姥
婆仔髻,(沒有對應詞彙),
破柴,劈柴,
破氣,傷氣,傷身體
破水囊,破水,
破金,喉嚨變得沙啞,
破爛,(不是粵方言詞),
破相,(不是粵方言詞),
破日,不吉利的日子,
摩囉叉,(不是粵方言詞),
摩囉綢,(不是粵方言詞),
摩登,(不是粵方言詞),
摩托車,(不是粵方言詞),
摩,(不是粵方言詞),
摩頭摩髻,(不是粵方言詞),
摩身摩勢,(不是粵方言詞),
魔術,戲法,
磨,研磨,
磨穿席,(沒有對應詞彙),
摸,(不是粵方言詞),
摸茶杯底,(不是粵方言詞),
摸酒杯底,(不是粵方言詞),
摸黑,(不是粵方言詞),
磨,磨(名詞),
磨心,(比喻)受折磨,受氣的人
磨碌,(形容)矮胖的人,
火遮眼,一時性起,突然發火
火屎,餘燼,
火起,惱火,火兒了
火氣,(不是粵方言詞),
火蓋頂,突然怒氣沖天,怒髮衝冠
火牛,變壓器,鎮流器
火候,(不是粵方言詞),
火爐,(沒有對應詞彙),
火燒眼眉,火燒眉毛,迫在眉睫
火腿,(不是粵方言詞),
火水,煤油,火油
火鐮,(不是粵方言詞),
火鉗,(不是粵方言詞),
火盆,(不是粵方言詞),
火罐,(不是粵方言詞),
火棒,(不是粵方言詞),
火頸,易怒,易發火
火紅火綠,怒氣沖沖地,怒氣大
火燭,著火,火警
火燭車,消防車,救火車
伙,家,戶
伙計,(不是粵方言詞),
伙頭,廚師,大師傅(的俗稱)
貨,(不是粵方言詞),
貨卡,(沒有對應詞彙),貨車板
貨車,(不是粵方言詞),
貨底,次貨,
貨櫃,集裝箱,
貨辦,貨物樣品,貸樣
貨面,好貨,
貨倉,(不是粵方言詞),
貨腳,運貨費用,腳錢
多多事幹,事兒多,多管閑事
多籮籮,很多很多,很多
多事,多管閑事,事兒多
多手,(沒有對應詞彙),
多口,多嘴,
多除少補,多退少補,
多心,心眼兒多,想法多
多煩,費心,煩勞
多聲,多嘴,說不該說的話
多得,多虧,感謝
躲懶,偷懶,
嚲,下垂,下垂的弧形
墮,(不是粵方言詞),
墮落,(不是粵方言詞),
墮落雞,(不是粵方言詞),
拖,(沒有對應詞彙),
拖卡,貨車的拖車,拖斗卡
拖拉,(不是粵方言詞),
拖鞋,(不是粵方言詞),
拖地,接觸到地上,垂到地上
拖友,情人,戀人
拖刀,(沒有對應詞彙),
拖渡,內河航行渡船,
拖累,(不是粵方言詞),
拖船,(沒有對應詞彙),
拖落水,受連累,被牽連
拖落,(沒有對應詞彙),
佗仔,懷孕,
佗手腳,拖住手腳,累贅
佗累,拖累,連累
佗衰,連累人倒霉,連累人倒運
佗衰家,敗家,
砣,(不是粵方言詞),
駝背,羅鍋兒,
妥當,完成得很好,
糯米,江米,
糯米餈,(沒有對應詞彙),
糯米餈荔枝,(沒有對應詞彙),
糯米屎,(沒有對應詞彙),
糯米雞,一種常見食品,
糯米酒,(沒有對應詞彙),
糯米蕉,香蕉的一種,
糯米甜酒,江米做的甜酒,
糯米甜醋,江米做的甜醋,
囉囉攣,心中不寧,折騰
囉嗦,挑剔,難侍候
囉柚,屁股的俗稱,
囉攣,心情不安寧,有難解決的事
腡,圓形指紋,
螺,螺螄,
螺絲批,改錐,螺絲刀
螺絲口,(沒有對應詞彙),
螺絲鑽,(沒有對應詞彙),
螺絲釘,有螺紋的釘子,
螺帽,螺絲母,
螺旋椅,轉椅,
螺殼粉,(沒有對應詞彙),
羅斗,(沒有對應詞彙),
羅漢果,(沒有對應詞彙),
