粵語,標準漢語1,標準漢語2
蜎窿蜎罅,到旮旯角去找,
,佔据,因佔據而造成阻
,佔据,因佔據而造成阻
,佔据,因佔據而造成阻
*,圈圍,
湊埋,湊起來,
,拼合,組裝
嵌,拼合,組裝
拍,並在一起,使並排
摳,(不是粵方言詞),
對摳,(不是粵方言詞),
撈,(不是粵方言詞),
扒頭,超越,
櫼隊,插隊,
兼隊,插隊,加塞兒(口)
打櫼,喻插隊,加塞兒
縮埋一二角,縮在角落里,
屈,(沒有對應詞彙),
行路,走路,步行
打白鴿轉,走一轉又回來,兜一圈兒又回來
行大運,轉大圈,兜了個大圈兒
蜎,亂走,
貢,(喻)亂走,(喻)亂跑
駁腳,(不是粵方言詞),
,逛,繞
流離朗蕩,流離失所,四處遊蕩(口)
過龍,走過頭,
運,從,繞
扯,走,離開
走投,溜走,離開
走路,溜走,跑掉
走夾唔,拼命跑,趕緊走掉
"行得快,好世界",走得快才是好,
冇鞋挽屐走,(意謂)趕緊離開,
噉腳,喻走得快,
躝,走,滾蛋
躝尸趷路,離開,滾蛋
過路,滾蛋,
跟尾,跟在後面,跟在後頭
慳,(不是粵方言詞),
死慳死抵,拼命節省,
慳頭慳尾,(不是粵方言詞),
儆惜,(不是粵方言詞),
,浪費,
大,非常浪費,
糟質,糟蹋,刻薄地對待
潮流興,(不是粵方言詞),
行,興,時髦
磅,(不是粵方言詞),
因,估量,估計
打起,加起來,
為,計算,
油,平塗,漆
蕩,平塗,
笑甩棚牙,笑掉整排牙齒,牙都笑掉了
笑到腸都攣,笑得很厲害,笑得肚子疼(口)
笑到肚都攣,笑得肚子疼(口),
微微嘴笑,微笑,抿嘴笑
陰陰笑,微笑,偷笑
柴哇哇,鬧玩兒,
喊到一句句,嗷嗷地哭,
嗌生嗌死,(沒有對應詞彙),
聲,嘆息,嘆氣
閘住,停止,打住
押後,(不是粵方言詞),
擺,擺設,裝點
乃,連帶,帶
打孖,(沒有對應詞彙),
敨(),休息,歇息
敨涼,乘涼,
晒命,(沒有對應詞彙),
孖鋪,兩人同睡一床,
打地鋪,(不是粵方言詞),
做廳長,在客廳睡覺(諈),
挨更抵夜,熬夜,
挨夜,熬夜,
戙起床板,不睡覺,熬夜
口,漱口,
洗面,洗臉,
沖涼,洗澡,
洗白白,洗澡,
搽脂蕩粉,塗脂抹粉,
除,脫,摘
打大赤腳,光腳丫子,光腳
除大赤肋,脫光上身,光膀子
打大赤肋,脫光上身,光膊子
剝光豬,把衣服全脫光,
煲,煮,長時間地煮
煠,用清水煮,
灼,涮,
焗,燜,
炆(燜),(沒有對應詞彙),
漚,(不是粵方言詞),
飛水,焯,
出水,焯(限用於蔬菜),
滾,(不是粵方言詞),
,(沒有對應詞彙),
起鑊,把炒好的菜從鍋裏裝上碟等,
煉,(沒有對應詞彙),
拉油,略炸一下,
打芡,勾芡,
辟腥,(沒有對應詞彙),
座,(沒有對應詞彙),
洗米,淘米,
鑲,菜肴製作法,
斬料,賣熟食,
,賣(米),
賣,賣菜,
整,做菜,
煲茶,煮開水,
沖茶,沏茶,灌開水
焗茶,泡茶,
沖滾水,灌開水,
雪藏,冰鎮,
食飯,吃飯,
飲早茶,早上飲茶,
消(宵)夜,吃夜宵,
挨齋,只靠素食度日,吃素
頂肚餓,充飢,解餓
開,擺,
裝飯,盛飯,
擺酒,置辦酒席請客,
埋位,入席,入座
飲勝,乾杯,
勝,乾(杯),
燒烤,(沒有對應詞彙),
空肚,空腹,空肚子(口)
撈汁,(不是粵方言詞),
乾骾,(沒有對應詞彙),
包,(沒有對應詞彙),
黐餐,(沒有對應詞彙),
擇食,偏食,挑食
揀飲擇食,偏食,挑食
牛牡丹,不懂品嘗美味,
暗,陪小孩睡覺,
藹,哄嬰兒,
,曬掛,曬晒
,(沒有對應詞彙),
抹地,擦地板,
行床,架床,鋪床
摺床,(不是粵方言詞),
朝行晚拆,(沒有對應詞彙),
戌,閂,
塔,鎖上,
透爐,為爐灶生火,
駁火,(不是粵方言詞),
除,退(柴火),熄滅
焙,(不是粵方言詞),
炕,烘,烤
收水,烤乾,"晾乾(食品,藥材)"
攻,(用)熏,
,熏,
焗,熏,
灒,淬火,醮火
,淬火,醮火
行街,逛街,
行公司,逛百貨公司,
蕩失,迷路,走失
蕩失路,迷路,
唔知定,迷路,迷失方向
走難,逃難,
食鹹水,出洋,到國外去
上,上來,
落去,(沒有對應詞彙),
探家,探親,
車邊,免費搭乘順路車,
代代平安,(高高興興)把錢收下,
幫補,(沒有對應詞彙),
矺袋,(沒有對應詞彙),
度水,交錢,拿錢出來
磅水,(不是粵方言詞),
填,賠償,
遷,(沒有對應詞彙),
暢,(不是粵方言詞),
長命債長命還,慢慢兒還債,
金龜,向妻子要錢,
打賞,賞小錢兒,付小費
打游戲機,玩電子游戲機,
扒艇仔,划小船,
侵,讓...參加一塊兒玩,
打仗仔,小孩子玩打仗,
伏兒人,捉迷藏,
捉兒人,捉迷藏,
執子,(沒有對應詞彙),
打玻子,彈球兒,
打棋子,(沒有對應詞彙),
點指兵兵,(沒有對應詞彙),
呈尋切,(沒有對應詞彙),
猜呈尋,(沒有對應詞彙),
包剪,包剪槌,砸剪包(方)
開估,公開謎底,
講古仔,講故事,
念口簧,念順口溜,
世藝,消閑活動,
鬥棋,兌子,
鬥,(不是粵方言詞),
踩,(沒有對應詞彙),
花心,(沒有對應詞彙),
歸心,(沒有對應詞彙),
剝光豬,輸得精光,
光豬,(沒有對應詞彙),
盲棋,(沒有對應詞彙),
鬥大,(沒有對應詞彙),
鋤大D,(沒有對應詞彙),
打麻雀,搓麻將牌,打麻將
竹戰,搓麻將牌,打麻將(俗)
食和(糊),(打麻將)取勝,
搵老婆,找老婆,
搵,尋找,找
睇老婆,相親,
拍拖,談戀愛,
拍,拍拖,
拖手仔,談戀愛,
拖,談戀愛,
行街,談戀愛,
行,談戀愛,情人交往
晒月光,(沒有對應詞彙),
掟煲,(沒有對應詞彙),
甩拖,戀愛關係破裂,
派糖,(沒有對應詞彙),
請食糖,請吃喜糖,(喻)結婚
請飲,請喝喜酒,
玩新人,鬧洞房,
翻頭嫁,再嫁,
梳起,終生不嫁,
擺姜酌,(為孩子)彌月設宴,
上契,認乾親,
矺年,壓歲,壓歲錢
賣水,舊俗,
行青,掃墓,
裝香,供香,
治邪,祛邪,辟邪
吊臘鴨,上吊,
吞槍,(不是粵方言詞),
安名,起名兒,
煲煙,抽煙,
趁墟,趕集,
撲飛,(不是粵方言詞),
打霧水,(沒有對應詞彙),
,澄,
泵,抽水,
裝,(沒有對應詞彙),
毒,(不是粵方言詞),
講話,說話,說
談,傾,
傾偈(計),談話,聊天
出聲,說話,吭聲
,說,
三四,說三道四,
講三講四,說三道四,
口水花噴噴,拼命地說話,大聲說話
話畀,告訴,
講畀,告訴,
話低,留下話,
話落,留下話,
嗌,招呼,呼喚
交帶,吩咐,交代
聽講,聽說,
聽聞,聽說,
承聞,聽說,
收口,停止說話,住嘴
粒聲唔出,一聲不吭,
唔聲,不吭聲,不出聲
口啞啞,啞口無言,無話可說
擘大口得個窿,啞口無言,張口結舌
吱吱浸浸,竊竊私語,
整整浸浸,吱吱浸浸,
口響,說得好聽,嘴硬
咯咯聲,能說會道,能言善辯
賣口乖,說好聽的話,耍嘴皮
好口,話說得好聽,
牙尖嘴利,口齒伶俐,
牙擦,言談自負,誇口
牙斬斬,嘴巴要強,強辭奪理
牙譫譫,嘴巴要強,強辭奪理
牙,嘴巴要強,強辭奪理
下爬輕輕,隨便說話,不切實際地誇口
學口學舌,把別人的話,模仿別人說話
學人口水溦,學舌,拾人餘唾
跟人口水溦,學舌,拾人餘唾
執人口水溦,學舌,拾人唾涕
讚,稱讚,讚揚
,貶損,挖苦
得就,說不負責任的話,
諦,諷刺,挖苦
彈,(不是粵方言詞),
嫽,戲弄,逗弄
,訓斥,
喝神喝鬼,罵人,大聲地呵斥人
質,質問,逼責
(噓),(對人)起哄,(對人)喝倒彩
話,責備,
嘈,爭吵,吵架
嘈交,吵架,
嗌交,吵架,
詏交,吵架,
駁,(不是粵方言詞),
勞氣,費神,耗費言詞
聲壞氣,白費口舌,
同鴨講,跟鴨說話,
吟,絮叨,念叨
吟噆,嘀咕,絮叨
啄唔斷,喻話多,
朵,話多,多嘴
牙痕,話多,
咕咕聲,(因不滿而)發牢騷,
咩,(沒有對應詞彙),
喊苦喊忽,訴苦,發牢騷
哭,訴苦,發牢騷
牙痛噉聲,(喻)發牢騷,
鬼殺咁嘈,吵吵鬧鬧,發牢騷
鬼殺噉聲,吵吵鬧鬧,發牢騷
吱喳,吵鬧,吱吱喳喳地大聲說話
嘈嘈閉,吵鬧不停,
巴閉,咋呼,吵嚷
嗌,喊叫,吼叫
呱呱叫,大聲叫喊,
講粗口,說粗話,
媽媽聲,滿嘴粗話,
滾紅滾綠,(不是粵方言詞),
神都冇句真,(沒有對應詞彙),
稱呼,(不是粵方言詞),
擢,(沒有對應詞彙),
對證,(不是粵方言詞),
開口著,喻說錯話,(喻)說話自相矛盾
捉字虱,摳字眼,摳字眼兒
打工,做工,受雇工作
做,幹活,工作
高就,工作,
銀,掙錢,撈錢
,掙錢,
撈,(不是粵方言詞),
打皇家工,在政府部門工作,
返工,上班,
落班,下班,
放工,(不是粵方言詞),
擂,拼命地干活,
炒更,加夜班,
秘撈,業餘兼職,
趕工,(不是粵方言詞),
搵工,找工作,
搵做,找工作,找活幹
扎職,晉職,升職
執包袱,(指)被解顧,(指)辭工
炒老細魷魚,(向老板)辭職,
吊砂煲,斷炊,
收山,(喻)退休,
整,製造,生產
修整,(不是粵方言詞),
起貨,完工,
翻抄,再生,
熄,(不是粵方言詞),
撻,發動,
窩,(不是粵方言詞),
啤,焊接,
倒模,用模子鑄,
掃灰水,粉刷墻壁,
執漏,為屋頂補漏,
搗石屎,搗制混凝土,攪拌混凝土
搭棚,搭設腳手架,
做木,幹木工活,
鬥家私,做家具,
油油,上漆,
焗漆,(沒有對應詞彙),
耕田,種地,務農
,務農,
蒔田,(不是粵方言詞),
割禾,割稻子,
圂,圈,
睇牛,放牛,
打種,(為禽畜)配種,動物交配
刮塘,清塘,
,駕駛,
駛,駕駛,
打晒纈,交通堵塞,
煞制,煞車,
埋站,靠站,
打的,(沒有對應詞彙),
拍,停放,
爆,輪胎破裂,
冇制,剎車失靈,剎不住
行船,在船上工作,當水手
扯纜,拉,
扒,划(船),
划,(不是粵方言詞),
落船,上船,
炕沙,擱淺,
到埠,到達,
聽電話,接電話,
講電話,用電話談話,通電話
傾電話,通電話,
煲電話粥,(沒有對應詞彙),
收線,掛斷電話,
覆機,回電話,
開檔,開始營業,開張
發市,(不是粵方言詞),
幫補,光顧,賣
執笠,收攤,倒閉
斗,倒閉,
檔,倒閉,
埋柜,結算,
札,登記(帳目),
數,主管錢財,當會計
落定,付定金,
詏數,討價還價,談判
擺檔口,擺攤子,
埋數,結帳,
睇數,會帳,結帳
外賣,(沒有對應詞彙),
例牌,按常例叫菜,
電發,燙髮,
恤髮,頭髮造型,
偷,用剪刀,掏(掐)薄
鏟,推剪,
影相,(不是粵方言詞),
晒相,洗照片,
相宜,便宜,
爛賤,極為便宜,
貴價,高價的,貴的
時價,(不是粵方言詞),
跳樓價,(沒有對應詞彙),
為皮,算成本,成本高
搶手,(不是粵方言詞),
旺市,(不是粵方言詞),
渴市,供不應求,缺貨
滯市,(不是粵方言詞),
旺,生意好,
把脈,診脈,按脈
執葯,抓葯,
執茶,抓葯,
煲葯,熬葯,
翻渣,(沒有對應詞彙),
食葯,吃葯,
搽葯,(不是粵方言詞),
搕,敷,
吊命,(沒有對應詞彙),
脫牙,拔牙,
驗身,檢查身體,
返學,上學,
上堂,上課,
落堂,下課,
罰企,(不是粵方言詞),
打手板,打手掌心,
溫功課,複習功課,
嘜,(不是粵方言詞),
念口簧,(沒有對應詞彙),
做戲,演戲,
做大戲,演出傳統戲劇,
唱大戲,演出傳統戲劇,
踩台,(沒有對應詞彙),
映電影,放電影,
睇戲,看電影,觀賞戲劇
睇大戲,觀賞傳統戲劇,
賣,登載,報道
落畫,結束放映,
踩水影,踩水,
律泳,花樣游泳,
律操,花樣體操,輕器械體操
步操,隊列操練,
掌上壓,俯,
聽尼士,網球,
開波,發球,
丟時,(沒有對應詞彙),
篩波,帶強烈旋轉的球,
食篩,(沒有對應詞彙),
恤,投籃,
嘜,(不是粵方言詞),
偷甩,(沒有對應詞彙),
閂,攔擋,
出界,(球)出,
頭錘,頭球,
轆地波,地滾球,
彈地波,(不是粵方言詞),
界外球,邊球,
自由球,任意球,
中界球,中圈球,
針球,籃球的跳球,
領前,(不是粵方言詞),
打工夫,演練武術,
食夜粥,練武術,
摸蝦,(不是粵方言詞),
散手,武術散打,不成套的武術
打卜成,拳擊運動,
扯大纜,拔河,
踩雪屐,溜旱冰,滾軸溜冰
滑雪屐,"同""""踩雪屐""""",
緩步跑,(不是粵方言詞),
准決賽,半決賽,
釘,逮捕,
執私,輯私,收繳走私貨物
扽監,蹲監獄,
拜山,(喻探監,
填命,償命,
打靶,槍斃,
炒股票,(沒有對應詞彙),
炒,炒糊了(口),
打住家工,做保姆,做女傭
倒屎,掏糞,
執屍,收拾、處理屍體,
同煲同撈,一起混,一起生活
群埋,結交,
出雙入對,(沒有對應詞彙),
撞口撞面,(不是粵方言詞),
摸門釘,(不是粵方言詞),
等,讓,
斟,商量,
講實,說定,
拍硬檔,通力合作,
搭通,搭上,
搭路,搭關係,通融
搭上搭,轉託,
打救,搭救,
做好心,出於好心辦事,做善事
益,利益,好處
放水,(沒有對應詞彙),
,懇求,哀求
求,懇求,哀求
打蛇隨棍上,因利乘便,鑽空子
擘大獅子口,(沒有對應詞彙),
監,(不是粵方言詞),
局,施加壓力,迫使
督,督促,監督
啄,督逼,緊緊釘
扤,強迫,強使
拉牛上樹,(沒有對應詞彙),
催命,(不是粵方言詞),
刮,催促,
慫,(不是粵方言詞),
望,監視,望風
打理,過問,理睬
騷,理睬,
懶理,不聞不問,懶得過問
睬佢都傻,(沒有對應詞彙),
眼屎乾淨盲,(沒有對應詞彙),
冇眼睇,(喻)不過問,不管
好少理,不管或不理睬,
話之,不管,
隨得,任由,隨便
隨由,任由,隨便
由得,(不是粵方言詞),
任...唔嬲,任由,隨便
畀,允許,容許
應,應允,同意
就,遷就,
就慣姿勢,(沒有對應詞彙),
呵,(沒有對應詞彙),
,哄,
碼,(不是粵方言詞),
做好人,做討人高興的事,當好人
笠,哄騙,哄
笠高帽,戴高帽,
托大腳,拍馬屁,抬轎子
靠...食(和)糊,全靠...成事,
搵路,走門路,找關係
蜎窿蜎罅,找各種關係,走各種門路
得失,得罪,
"得失人多,稱呼人少",(沒有對應詞彙),
做醜人,做得罪人的事,做白臉兒的
演,(不是粵方言詞),
演,(不是粵方言詞),
認嚦,(不是粵方言詞),
認屎認屁,(不是粵方言詞),
彩,(沒有對應詞彙),
認衰仔,(不是粵方言詞),
認細佬,(不是粵方言詞),
爆料,(將情況或消息)公開,(將情況或消息)泄漏
打同通,串通,互通信息
怪責,責怪,
怪錯,錯怪,
景,故意氣人,
犯眾憎,令眾人憎惡,犯眾怒
食碗面反碗底,(喻)忘恩負義,
手指拗出唔拗入,(沒有對應詞彙),
反轉豬肚就係屎,(沒有對應詞彙),
食貓麵,挨罵,受冷遇
識貌麵,挨罵,受冷遇
失禮,丟臉,替...丟臉
失禮人,丟臉,在人前丟臉
瘀,丟臉,
搏,拼命,拼搏
搏命,拼命,
拚命,(不是粵方言詞),
拚死,(不是粵方言詞),
拚死無大害,(沒有對應詞彙),
死纏爛打,爭鬥糾纏,
犯,(不是粵方言詞),
鬥氣,慪氣,鬧別扭
侵,(沒有對應詞彙),
霎氣,慪氣,鬧別扭
駁火,(不是粵方言詞),
鬼打鬼,狗咬狗,
狗咬狗骨,狗咬狗,同類相鬥
,比,較量
,較量,
柴台,喝倒彩,拆台
撬墻腳,(不是粵方言詞),
踩,(沒有對應詞彙),
煲,算計,用計謀施以打擊
閹,暗中算計,
炮制,整治,收拾(口)
出橫手,(沒有對應詞彙),
使橫手,(沒有對應詞彙),
出術,使出詭計,使出見不得人的手段
吹脹,奈何,
咬,奈何,
炒埋一碟,(沒有對應詞彙),
捉痛腳,揭痛處,揭短
捉腳,挑毛病,抓小辮子
一竹篙打死一船人,(沒有對應詞彙),
嚇鬼,嚇唬小的人,
喊打喊殺,(沒有對應詞彙),
拋,唬嚇,
,攆,驅逐
拍,攆,驅逐
,(沒有對應詞彙),
恰,欺負,
明剃眼眉,公然欺負,
蝦霸,(不是粵方言詞),
霸王,霸道,
霸,霸道,
,霸道,
托手,故意為難,制肘
吊起賣,(不是粵方言詞),
整蠱,捉弄,
待慢,怠慢,
賣甩,甩掉,撇開
甩底,爽約,不守承諾
搵笨,使上當受騙,愚弄
搵老親,使上當受騙,愚弄
煮,設法陷害,
砌生豬肉,造罪名陷害,
裝,設圈套使人上當,
西瓜皮,(沒有對應詞彙),
呃神騙鬼,騙人,
呃鬼食豆腐,騙人,
貓尾,暗中串通好,
扯貓尾,暗中串通好,
遮瞞,隱瞞,
詐,(不是粵方言詞),
詐諦,假裝,裝蒜
扮,假裝,作假
整色整水,裝模作樣,
詐癲扮傻,裝瘋賣傻,假裝糊塗
詐傻,裝瘋賣傻,假裝糊塗
詐聾扮啞,裝聾作啞,
詐耳聾,裝聾作啞,
"神又係佢,鬼又係佢",(沒有對應詞彙),
借意,找借口,
害死,誤,拖累
佗衰,拖累,給...帶來厄運或壞名聲
害人害物,拖累別人,
"生累街坊,死累朋友",拖累別人,
耽,(不是粵方言詞),
阻頭阻勢,妨礙別人做事,
阻手阻腳,妨礙別人做事,礙手礙腳
佗手腳,礙手礙腳,累累贅贅
滾紅滾綠*,(不是粵方言詞),
胡天胡帝,胡鬧,亂來一氣
撞鬼,(不是粵方言詞),
搞搞震,搞來搞去,
整蠱做怪,裝神弄鬼,搞小動作
整蠱作怪,裝神弄鬼,搞小動作
整蠱弄怪,裝神弄鬼,搞小動作
嫽是逗非,撥弄是非,
學是學非,(沒有對應詞彙),
飛,承罪責,
領,(不是粵方言詞),
挨夾棍,遭受兩面打擊,兩面受氣
食夾棍,遭受兩面打擊,兩面受氣
頸就命,(沒有對應詞彙),
局住,被迫,
想唔...都幾難,非...不可,不得不
發惡,(沒有對應詞彙),
踩親條尾噉,(沒有對應詞彙),
扎扎跳,不停地跳腳,暴跳如雷
拚,撒野,破罐破摔
放,撒野,
打橫,(沒有對應詞彙),
詐嗲,撒嬌,
矛,耍賴皮,
矛賴,耍賴皮,
揙,揍,
拼,揍,
做,揍,
,揍,
拍薑噉拍,(喻)狠狠地揍,
藤條炆豬肉,抽打,
鬆骨,揍,
勸交,勸架,
爭,勸(架),
霸王,(沒有對應詞彙),
爆夾,入屋偷竊,
爆格,入屋偷竊,
死牛,攔路搶劫,
箍頸,(不是粵方言詞),
標參,(不是粵方言詞),
偷呃拐騙,犯罪活動的統稱,
博拉,做違法的事，或可能導致嚴重後果的事,找倒霉(口)
班,糾集同伙,拉隊伍
班馬,召集黨徒,召集羽翼
開揙,打架,群鬥
擺場,選定群鬥的場所,
濕,打得頭破血流,毆傷
做世界,狠揍,狠命地毆打
尋仇,(沒有對應詞彙),
咿邑,男女鬼混(俗),
發姣,賣俏,
放電,賣弄風情,
賣生藕,(沒有對應詞彙),
勾佬,找野男人,勾引男人
爛賭,嗜賭,沉迷於賭博
早,晚安,
拜拜,再見,
唔該,謝謝,勞駕
唔使唔該,不用謝,甭客氣
承惠,多承惠顧,
滾攪晒,(不是粵方言詞),
勞煩晒,勞煩了,
失禮,不像樣,失禮了
有怪莫怪,請別見怪,
對唔住,(不是粵方言詞),
冇所謂,沒關係,無所謂
冇問題,沒關係,沒問題
借借,請讓一讓,
借歪,請讓一讓,借光
飲杯,乾杯,碰杯
勝,乾杯,
慢慢食,(不是粵方言詞),
慢慢行,(不是粵方言詞),
得閑坐,有空來坐,
唔使送,不必送,
錯蕩,走錯門,
少食,(沒有對應詞彙),
心想事成,如願以償,
承你貴言,承蒙您的好話,
托賴,拜托,托福
交帶,(沒有對應詞彙),
輸,打賭,
冇計,不計較,
派街坊,大方地拿去送人,
踢竇,妻子捉丈夫的奸,
扮蟹,被捆綁,
圂,(沒有對應詞彙),
乞食,討飯,
乞米,討飯,
東東,事情,事
事實,事情,麻煩事
閑事,很容易辦到的事,
支質,(沒有對應詞彙),
冇米粥,毫無眉目的事情,
前塵往事,陳年舊事,
手尾,收尾工作,遺留下來的麻煩事
蘇州屎,遺留下的麻煩事,
紋路,(沒有對應詞彙),
景轟,蹊蹺的事,曖昧的事
私隱,隱私,
陰騭事,虧心事,
個案,案件,事例
畸士,案件,案例
案底,作案記錄,犯罪記錄
快勞,檔案,
官非,官司,
度數,(做事的)分寸,譜兒
勢色,形勢,情勢
現況,現狀,
市道,(不是粵方言詞),
家居環境,居住環境,
咿,(沒有對應詞彙),
料,消息,信息
堅料,確鑿的消息,
流料,不可靠的消息,
風,(不是粵方言詞),
貼士,內幕消息,提示性信息
兩句,(喻)矛盾,別扭
嗌霎,衝突,吵架
拗撬,衝突,矛盾
隔夜仇,很小的嫌隙,
牙齒印,仇恨,
過節,仇隙,
十冤九仇,深仇大恨,
痛腳,把柄,弱點
命水,命運,命
爛命,不好的命,不值錢的命
手勢,運氣,手氣
手神,運氣,手氣
彩數,(喻)運氣,
數,好處,便宜的事
頭啖湯,(沒有對應詞彙),
食福,口福,
三衰六旺,(人生的)禍福,
款,(不是粵方言詞),
花款,花色,
,圈兒,
四方,方框,
四方形,正方形,
扁圓形,橢圓形,
長圓形,橢圓形,
架步,架勢,
甫士,姿勢,
動靜,舉止,姿態風度
面口,臉色,
鞋抽面,(沒有對應詞彙),
嘜頭,(不是粵方言詞),
乞兒相,很下賤的相貌,邋邋遢
力水,力量,力度
牛力,大的力氣,牛勁兒
蠻力,蠻勁兒,傻勁兒
陰力,柔勁,
手力,手勁兒,
腳頭,腳力,
腳骨力,腿力,腿腳
東東,東西,
好,好東西,
正斗,質量好的東西,
堅,好貨,優質貨
苴,差劣的東西,劣等貨
苴斗貨,次品,次貨
貨仔,東西,貨色
賣剩蔗,(沒有對應詞彙),
蘿底橙,(沒有對應詞彙),
叻,各種東西或事情,
乜乜物物,繁瑣的事物,這個那個
狗屎拉雜,(沒有對應詞彙),
仔,(沒有對應詞彙),
咿,這,
呢,這些,
咿,這些,
,那,
第二個,另一個,別的
第二,另一些,別的
第,另一些,別的
邊,哪些,
乜,什麼東西,什麼
咩,什麼東西,什麼
乜東東,什麼東西,乜東西
乜鬼,什麼東西,
火路,火候,
景,(不是粵方言詞),
諗頭,想法,想頭
諗法,想法,念頭
睇法,看法,見解
心機,心思,計謀
火氣,(不是粵方言詞),
心火,(不是粵方言詞),
聲氣,對人說話的態度,
道行,高深的本領,
板斧,(不是粵方言詞),
散手,(喻)本事,技藝
喉底,戲曲演員的唱功,歌唱的基本功
手作,手藝,
手工,(不是粵方言詞),
人工,工藝,在手工工作中表現出的技藝
眼水,視力,
質素,素質,
穚,計策,竊門
絕世好穚,絕妙的計策,
計,(不是粵方言詞),
計仔,計策,辦法
屎坑計,壞點子,低劣的辦法
符,(喻)辦法,辦法
把炮,神通,
工,職業,工作
住家工,當保姆的,
瓣,專業範圍,行當
架步,技術規程,行規
懶佬工夫,很容易做的工作,不費勁的工作
眼睇工夫,很容易做的工作,
一頭家,(沒有對應詞彙),
貼士,小費,
下欄,雜活,
利市,酬謝贈錢,獎金
佣,(不是粵方言詞),
折頭,折扣,
南風窗,(沒有對應詞彙),
時年,年成,
漁獲,(不是粵方言詞),
散使,零用錢,零花兒
湯葯費,醫葯費,
福壽金,(不是粵方言詞),
樓花,(不是粵方言詞),
皮,本錢,
定,定金,定錢
燕梳,保險,
善款,(沒有對應詞彙),
貴利,高利貸,
手本戲,拿手好戲,看家本事
龍舟,(沒有對應詞彙),
白欖,(沒有對應詞彙),
木魚書,(沒有對應詞彙),
班,樂隊,
扒□,派對,舞會
紅會,紅十字會,
面,情面,面子
薄面,人際關係,
窿路,門路,
窿罅,很偏的門路,
挨話,客家話,
鹹水話,不純正的話,
煲冬瓜,普通話,
鬼佬話,外國話,
笛,(喻)對人的吩咐,
誓願,(不是粵方言詞),
童子口,迷信說法,
簡筆字,簡化字,
舊體字,繁體字,
大字,(不是粵方言詞),
腸字,手寫的西洋文字,
單企人,單人旁,單立人兒(口)
企人邊,單人旁,立人兒
企人旁,單人旁,立人兒
雙企人,雙人旁,
戽斗邊,耳邊兒(口),
斧頭邊,(沒有對應詞彙),
狗爪邊,反犬旁,狗爪旁
繞絲邊,絞絲旁,
繞絲底,"""糸""""字底",
穿心邊,心旁,
剔土邊,提土旁,
禮衣邊,禮衣旁,
宮頭,寶蓋頭,禿寶蓋頭
篷頭,"同""""宮頭""""",
撐艇仔,(不是粵方言詞),
阿公,公家,
如來佛祖,如來佛,
天后,媽祖,
攝青鬼,妖魅,
坳胡,(沒有對應詞彙),
花名,綽號,
卓頭,噱頭,
大,體積大,
大粒,大粒兒,顆粒兒大
大隻,大,大塊頭(方)
細,體積小,
細粒,顆粒兒小,
細隻,小,小隻
奀,小,細
咁大,非常小,
鼻屎咁大,(不是粵方言詞),
的色,小巧,
大轆,粗(枝狀物),
細轆,細(枝狀物),
短切切,很短,
高,很高,細高挑兒
高大威猛,高大威武,魁梧
矮,非常矮,
翳,低矮,
厚,很厚,
薄身,薄,
薄削,(布等)很薄,
闊,寬,"(衣物)寬大,肥大"
淺窄,狹小,狹窄
逼,狹小,
屈厔,狹小,局促
局,狹小,局促
直不甩,筆直,
,直,直
攣弓,彎曲,
九曲十三彎,彎彎曲曲,
殽,扭曲不平,
企,直,
戙企,立,直
戙企,直立,
企身,立的,立式的
斜,陡,
歪,歪斜,
尖不甩,尖尖的,
倔,禿,不尖
倔擂槌,禿禿的,很不尖
倔頭,不尖,禿
滑捋捋,滑溜溜,光滑
滑潺潺,滑而帶粘液,
滑揗揗,滑而多油,
,滑,
,粗糙,澀
澀澀,非常粗糙,很不光滑
局,(受壓力而)拱起,
岩巉,高低不平,
一岩一窟,地面凹凸不平,坑坑洼洼
凹凹突突,凹凸不平,
巢,皺,
巢咪,非常皺,
巢,非常皺,
巢皮,表面起皺紋,
肥揗揗,胖乎乎,胖嘟嘟
肥肥白白,又白又胖,
面圓,胖,
抵打,胖,
短度闊封,矮且胖,
大隻,健壯,魁梧
大隻騾騾,高大健壯,
大,健碩,健壯
大份,健碩,健壯
黑黑實實,膚色黝黑,肌肉結實
大肚腍□,大腹便便,
奀鬼命,瘦小,
瘦骨賴柴,(不是粵方言詞),
瘦骨如柴煲碌竹,(不是粵方言詞),
落形,變瘦,
清減,(不是粵方言詞),
四四方方,(不是粵方言詞),
圓轆轆,圓溜溜,
圓,圓溜溜,
眼,炫目,刺眼
,炫目,刺眼
劖眼,炫目,刺眼
劖,炫目,刺眼
光,很明亮,很亮堂
光劖劖,很明亮,很亮堂
蒙蒙光,(不是粵方言詞),
呤,亮,光
臘臘呤,亮異常,
真,清楚,
黑咪麻,極暗,黑茫茫
黑咪,極暗,烏黑
烏天黑地,昏天黑地,
翳,昏暗,
遮手影,(沒有對應詞彙),
紅,(膚色)紅,
屎黃,土黃色,
黃黚黚,黃黃的,黃乎乎的
豬肝色,赭色,褐色
茶色,(不是粵方言詞),
肉色,(不是粵方言詞),
湖水藍,湖藍,天藍
姣婆藍,翠藍,
海軍藍,深藍色,
青BB,青青的,綠綠的
白淨,(不是粵方言詞),
白賴,蒼白,慘白
烏,黑黑的,黑油油的
黑古勒特,黑不溜秋,
鼠灰,銀灰色,
七彩,色彩繽紛,
花哩碌,色彩斑駁,花花綠綠
搶眼,奪目,耀眼
